id;title;description;creation_date;topic_id
1;Solutions Tuna capacitor;Rubber Face to face;2022-02-18;1
2;TCP content;Equatorial Guinea;2022-02-18;2
3;AI North Korean Won;driver leading edge copying;2022-02-17;3
4;coherent Borders back up;withdrawal cyan Tactics;2022-02-17;4
5;Chief;high-level copying;2022-02-18;5
6;Legacy synthesize Fiji Dollar;unleash;2022-02-18;6
7;Engineer haptic compress;Awesome Granite Hat Groves;2022-02-18;7
8;payment payment;Beauty plum transmitter;2022-02-18;8
9;withdrawal next-generation Congolese Franc;eyeballs redefine Personal Loan Account;2022-02-17;9
10;Outdoors Persevering;North Carolina Trinidad and Tobago Dollar;2022-02-18;10
